method,height,width,channels,filters,kernel,stride,padding,block_x,block_y,output_height,output_width,warmup,runs,mean_ms,min_ms,max_ms,gflops,verified,status
direct,2048,2048,3,3,3,2,1,32,8,1024,1024,3,10,0.669354,0.666624,0.675840,253.781125,true,ok
direct-shared,2048,2048,3,3,3,2,1,32,8,1024,1024,3,10,0.669094,0.668384,0.670720,253.879440,true,ok
direct,2048,2048,3,3,3,2,1,32,16,1024,1024,3,10,0.669203,0.668352,0.670624,253.838163,true,ok
direct-shared,2048,2048,3,3,3,2,1,32,16,1024,1024,3,10,0.675795,0.675040,0.676864,251.362113,true,ok
im2col,2048,2048,3,3,3,2,1,16,16,1024,1024,3,10,2.090195,2.084672,2.104320,81.269594,true,ok
cudnn,2048,2048,3,3,3,2,1,0,0,1024,1024,3,10,0.853357,0.831488,1.021952,199.060125,true,ok
direct,2048,2048,3,3,3,3,0,8,8,682,682,3,10,0.638032,0.636800,0.648192,118.097660,true,ok
direct-shared,2048,2048,3,3,3,3,0,8,8,682,682,3,10,0.641997,0.636928,0.650240,117.368321,true,ok
direct,2048,2048,3,3,3,3,0,16,16,682,682,3,10,0.640294,0.639808,0.641024,117.680381,true,ok
direct-shared,2048,2048,3,3,3,3,0,16,16,682,682,3,10,0.643101,0.641024,0.645120,117.166838,true,ok
direct,2048,2048,3,3,3,3,0,32,8,682,682,3,10,0.636342,0.635552,0.637088,118.411232,true,ok
direct-shared,2048,2048,3,3,3,3,0,32,8,682,682,3,10,0.636397,0.635808,0.637760,118.401109,true,ok
direct,2048,2048,3,3,3,3,0,32,16,682,682,3,10,0.636445,0.635904,0.637856,118.392180,true,ok
direct-shared,2048,2048,3,3,3,3,0,32,16,682,682,3,10,0.641168,0.638048,0.661504,117.520039,true,ok
im2col,2048,2048,3,3,3,3,0,16,16,682,682,3,10,1.017232,1.013760,1.026048,74.073651,true,ok
cudnn,2048,2048,3,3,3,3,0,0,0,682,682,3,10,0.391040,0.389120,0.396288,192.691510,true,ok
direct,2048,2048,3,3,3,3,1,8,8,683,683,3,10,0.637411,0.636928,0.637856,118.559600,true,ok
direct-shared,2048,2048,3,3,3,3,1,8,8,683,683,3,10,0.638029,0.636928,0.643072,118.444835,true,ok
direct,2048,2048,3,3,3,3,1,16,16,683,683,3,10,0.638464,0.637952,0.638976,118.364101,true,ok
direct-shared,2048,2048,3,3,3,3,1,16,16,683,683,3,10,0.638742,0.637952,0.639808,118.312512,true,ok
direct,2048,2048,3,3,3,3,1,32,8,683,683,3,10,0.637578,0.636928,0.637952,118.528656,true,ok
direct-shared,2048,2048,3,3,3,3,1,32,8,683,683,3,10,0.637850,0.636832,0.638944,118.478114,true,ok
direct,2048,2048,3,3,3,3,1,32,16,683,683,3,10,0.639808,0.638720,0.646144,118.115465,true,ok
direct-shared,2048,2048,3,3,3,3,1,32,16,683,683,3,10,0.641808,0.638848,0.654336,117.747394,true,ok
im2col,2048,2048,3,3,3,3,1,16,16,683,683,3,10,1.020461,1.018784,1.021952,74.055972,true,ok
